num_envs,measurement_mode,env_name,img_size,bottleneck_mode,fps
4,0,CartpoleBalance,0,False,11072
4,0,CartpoleBalance,0,False,11679
4,0,CartpoleBalance,0,False,11092
4,0,CartpoleBalance,0,False,12044
4,0,CartpoleBalance,0,False,11984
16,0,CartpoleBalance,0,False,46605
16,0,CartpoleBalance,0,False,45442
16,0,CartpoleBalance,0,False,48361
16,0,CartpoleBalance,0,False,47586
16,0,CartpoleBalance,0,False,46397
32,0,CartpoleBalance,0,False,93301
32,0,CartpoleBalance,0,False,96756
32,0,CartpoleBalance,0,False,93332
32,0,CartpoleBalance,0,False,95110
32,0,CartpoleBalance,0,False,92150
64,0,CartpoleBalance,0,False,202800
64,0,CartpoleBalance,0,False,200528
64,0,CartpoleBalance,0,False,198422
64,0,CartpoleBalance,0,False,207034
64,0,CartpoleBalance,0,False,199382
128,0,CartpoleBalance,0,False,379009
128,0,CartpoleBalance,0,False,378646
128,0,CartpoleBalance,0,False,372801
128,0,CartpoleBalance,0,False,371255
128,0,CartpoleBalance,0,False,370211
256,0,CartpoleBalance,0,False,776103
256,0,CartpoleBalance,0,False,771562
256,0,CartpoleBalance,0,False,772541
256,0,CartpoleBalance,0,False,762781
256,0,CartpoleBalance,0,False,761964
512,0,CartpoleBalance,0,False,1476314
512,0,CartpoleBalance,0,False,1490606
512,0,CartpoleBalance,0,False,1483206
512,0,CartpoleBalance,0,False,1498015
512,0,CartpoleBalance,0,False,1503500
1024,0,CartpoleBalance,0,False,2658449
1024,0,CartpoleBalance,0,False,2662916
1024,0,CartpoleBalance,0,False,2645205
1024,0,CartpoleBalance,0,False,2622096
1024,0,CartpoleBalance,0,False,2636275
2048,0,CartpoleBalance,0,False,4932984
2048,0,CartpoleBalance,0,False,4866636
2048,0,CartpoleBalance,0,False,4868167
2048,0,CartpoleBalance,0,False,4963466
2048,0,CartpoleBalance,0,False,4884432
4096,0,CartpoleBalance,0,False,9217231
4096,0,CartpoleBalance,0,False,9030221
4096,0,CartpoleBalance,0,False,9326767
4096,0,CartpoleBalance,0,False,8966790
4096,0,CartpoleBalance,0,False,9068296
8192,0,CartpoleBalance,0,False,15610137
8192,0,CartpoleBalance,0,False,15655429
8192,0,CartpoleBalance,0,False,15944934
8192,0,CartpoleBalance,0,False,15826140
8192,0,CartpoleBalance,0,False,15414451
16384,0,CartpoleBalance,0,False,25796683
16384,0,CartpoleBalance,0,False,25348695
16384,0,CartpoleBalance,0,False,25658934
16384,0,CartpoleBalance,0,False,25577280
16384,0,CartpoleBalance,0,False,25624270
128,1,CartpoleBalance,80,False,129263
128,1,CartpoleBalance,80,False,130062
128,1,CartpoleBalance,80,False,130259
128,1,CartpoleBalance,80,False,129730
128,1,CartpoleBalance,80,False,131397
256,1,CartpoleBalance,80,False,199510
256,1,CartpoleBalance,80,False,201133
256,1,CartpoleBalance,80,False,200020
256,1,CartpoleBalance,80,False,200383
256,1,CartpoleBalance,80,False,199884
512,1,CartpoleBalance,80,False,290461
512,1,CartpoleBalance,80,False,287308
512,1,CartpoleBalance,80,False,286881
512,1,CartpoleBalance,80,False,285840
512,1,CartpoleBalance,80,False,288947
1024,1,CartpoleBalance,80,False,355328
1024,1,CartpoleBalance,80,False,355336
1024,1,CartpoleBalance,80,False,353447
1024,1,CartpoleBalance,80,False,352076
1024,1,CartpoleBalance,80,False,352145
128,1,CartpoleBalance,128,False,96938
128,1,CartpoleBalance,128,False,97092
128,1,CartpoleBalance,128,False,97201
128,1,CartpoleBalance,128,False,97399
128,1,CartpoleBalance,128,False,96965
256,1,CartpoleBalance,128,False,126640
256,1,CartpoleBalance,128,False,126707
256,1,CartpoleBalance,128,False,126071
256,1,CartpoleBalance,128,False,125637
256,1,CartpoleBalance,128,False,126149
512,1,CartpoleBalance,128,False,148917
512,1,CartpoleBalance,128,False,148646
512,1,CartpoleBalance,128,False,149642
512,1,CartpoleBalance,128,False,149666
512,1,CartpoleBalance,128,False,149180
1024,1,CartpoleBalance,128,False,163224
1024,1,CartpoleBalance,128,False,162739
1024,1,CartpoleBalance,128,False,162598
1024,1,CartpoleBalance,128,False,162921
1024,1,CartpoleBalance,128,False,161999
128,1,CartpoleBalance,224,False,50250
128,1,CartpoleBalance,224,False,50044
128,1,CartpoleBalance,224,False,50174
128,1,CartpoleBalance,224,False,50350
128,1,CartpoleBalance,224,False,50210
256,1,CartpoleBalance,224,False,55400
256,1,CartpoleBalance,224,False,55370
256,1,CartpoleBalance,224,False,55441
256,1,CartpoleBalance,224,False,55319
256,1,CartpoleBalance,224,False,55273
512,1,CartpoleBalance,224,False,60471
512,1,CartpoleBalance,224,False,60493
512,1,CartpoleBalance,224,False,60466
512,1,CartpoleBalance,224,False,60407
512,1,CartpoleBalance,224,False,60442
1024,1,CartpoleBalance,224,False,54540
1024,1,CartpoleBalance,224,False,54361
1024,1,CartpoleBalance,224,False,54392
1024,1,CartpoleBalance,224,False,54375
1024,1,CartpoleBalance,224,False,54439
128,1,CartpoleBalance,256,False,40842
128,1,CartpoleBalance,256,False,40874
128,1,CartpoleBalance,256,False,40885
128,1,CartpoleBalance,256,False,40856
128,1,CartpoleBalance,256,False,40938
256,1,CartpoleBalance,256,False,44045
256,1,CartpoleBalance,256,False,44155
256,1,CartpoleBalance,256,False,44069
256,1,CartpoleBalance,256,False,44096
256,1,CartpoleBalance,256,False,44160
512,1,CartpoleBalance,256,False,47796
512,1,CartpoleBalance,256,False,47717
512,1,CartpoleBalance,256,False,47776
512,1,CartpoleBalance,256,False,47751
512,1,CartpoleBalance,256,False,47734
1024,1,CartpoleBalance,256,False,42470
1024,1,CartpoleBalance,256,False,42469
1024,1,CartpoleBalance,256,False,42404
1024,1,CartpoleBalance,256,False,42439
1024,1,CartpoleBalance,256,False,42452
1024,0,CartpoleBalance,64,True,1371578
1024,0,CartpoleBalance,64,True,1362626
1024,0,CartpoleBalance,64,True,1364720
1024,0,CartpoleBalance,64,True,1375400
1024,0,CartpoleBalance,64,True,1376490
1024,1,CartpoleBalance,64,True,402398
1024,1,CartpoleBalance,64,True,403942
1024,1,CartpoleBalance,64,True,401682
1024,1,CartpoleBalance,64,True,406500
1024,1,CartpoleBalance,64,True,398467
1024,2,CartpoleBalance,64,True,341142
1024,2,CartpoleBalance,64,True,341215
1024,2,CartpoleBalance,64,True,340410
1024,2,CartpoleBalance,64,True,340846
1024,2,CartpoleBalance,64,True,341014
1024,0,PandaPickCubeCartesian,64,True,64088
1024,0,PandaPickCubeCartesian,64,True,63882
1024,0,PandaPickCubeCartesian,64,True,64058
1024,0,PandaPickCubeCartesian,64,True,63895
1024,0,PandaPickCubeCartesian,64,True,63945
1024,1,PandaPickCubeCartesian,64,True,37008
1024,1,PandaPickCubeCartesian,64,True,36971
1024,1,PandaPickCubeCartesian,64,True,37003
1024,1,PandaPickCubeCartesian,64,True,36701
1024,1,PandaPickCubeCartesian,64,True,36724
1024,2,PandaPickCubeCartesian,64,True,35570
1024,2,PandaPickCubeCartesian,64,True,36074
1024,2,PandaPickCubeCartesian,64,True,36206
1024,2,PandaPickCubeCartesian,64,True,36104
1024,2,PandaPickCubeCartesian,64,True,36168
1024,1,CartpoleBalance,128,True,142668
1024,1,CartpoleBalance,128,True,142795
1024,1,CartpoleBalance,128,True,142922
1024,1,CartpoleBalance,128,True,142813
1024,1,CartpoleBalance,128,True,142143
1024,1,PandaPickCubeCartesian,128,True,35190
1024,1,PandaPickCubeCartesian,128,True,35150
1024,1,PandaPickCubeCartesian,128,True,35112
1024,1,PandaPickCubeCartesian,128,True,35107
1024,1,PandaPickCubeCartesian,128,True,35183
1024,1,CartpoleBalance,256,True,43600
1024,1,CartpoleBalance,256,True,43545
1024,1,CartpoleBalance,256,True,43537
1024,1,CartpoleBalance,256,True,43643
1024,1,CartpoleBalance,256,True,43582
1024,1,PandaPickCubeCartesian,256,True,28892
1024,1,PandaPickCubeCartesian,256,True,28928
1024,1,PandaPickCubeCartesian,256,True,28939
1024,1,PandaPickCubeCartesian,256,True,28908
1024,1,PandaPickCubeCartesian,256,True,28567
1024,1,CartpoleBalance,512,True,19452
1024,1,CartpoleBalance,512,True,19277
1024,1,CartpoleBalance,512,True,19253
1024,1,CartpoleBalance,512,True,19528
1024,1,CartpoleBalance,512,True,19382
1024,1,PandaPickCubeCartesian,512,True,16574
1024,1,PandaPickCubeCartesian,512,True,16675
1024,1,PandaPickCubeCartesian,512,True,16785
1024,1,PandaPickCubeCartesian,512,True,16443
1024,1,PandaPickCubeCartesian,512,True,16468
