env.step/dt,env.step/fps,env.step/psps,env.step/total_steps,env.step/cpu_mem_use,env.step/gpu_mem_use,env.step+env.reset/dt,env.step+env.reset/fps,env.step+env.reset/psps,env.step+env.reset/total_steps,env.step+env.reset/cpu_mem_use,env.step+env.reset/gpu_mem_use,env_id,obs_mode,num_envs,num_cameras,camera_width,camera_height,sensor_settings,gpu_type
1.4912841320037842,2682.252103511184,670.5630258777959,1000,2652700672,2732118016,1.477783203125,2706.756980009912,676.6892450024781,1000,2653487104,2732118016,CartpoleBalanceBenchmark-v1,state,4,,,,,NVIDIA GeForce RTX 4090
1.499715805053711,10668.687991473807,666.792999467113,1000,2653700096,2732118016,1.4709534645080566,10877.298559102286,679.8311599438929,1000,2654224384,2732118016,CartpoleBalanceBenchmark-v1,state,16,,,,,NVIDIA GeForce RTX 4090
1.4984760284423828,21355.029638520784,667.3446762037745,1000,2679107584,2732118016,1.504070520401001,21275.59816242424,664.8624425757573,1000,2679631872,2732118016,CartpoleBalanceBenchmark-v1,state,32,,,,,NVIDIA GeForce RTX 4090
1.5351598262786863,41689.470310814206,651.397973606472,1000,2661003264,2732118016,1.572298288345337,40704.744433292384,636.0116317701935,1000,2661265408,2732118016,CartpoleBalanceBenchmark-v1,state,64,,,,,NVIDIA GeForce RTX 4090
1.5434703826904297,82930.00075380952,647.8906308891369,1000,2672857088,2732118016,1.5958075523376465,80210.17309543182,626.6419773080611,1000,2673381376,2732118016,CartpoleBalanceBenchmark-v1,state,128,,,,,NVIDIA GeForce RTX 4090
1.5089356899261477,169656.00436724347,662.7187670595448,1000,2687447040,2732118016,1.5033161640167236,170290.19319262248,665.1960671586816,1000,2687709184,2732118016,CartpoleBalanceBenchmark-v1,state,256,,,,,NVIDIA GeForce RTX 4090
1.5538675785064695,329500.40729475726,643.5554829975728,1000,2707533824,2799226880,1.5294928550720217,334751.4820367636,653.8114883530538,1000,2708058112,2799226880,CartpoleBalanceBenchmark-v1,state,512,,,,,NVIDIA GeForce RTX 4090
1.5957462787628174,641706.0240891852,626.6660391495949,1000,2788483072,2866335744,1.5697743892669678,652323.0389038095,637.0342176795015,1000,2788745216,2866335744,CartpoleBalanceBenchmark-v1,state,1024,,,,,NVIDIA GeForce RTX 4090
1.6796798706054688,1219279.9567585243,595.3515413859983,1000,2861690880,3002650624,1.6607286930084229,1233193.6026769262,602.1453138070929,1000,2861953024,3002650624,CartpoleBalanceBenchmark-v1,state,2048,,,,,NVIDIA GeForce RTX 4090
1.898465871810913,2157531.542082923,526.7410991413386,1000,3040579584,3275280384,1.884688138961792,2173303.856125683,530.5917617494343,1000,3041103872,3275280384,CartpoleBalanceBenchmark-v1,state,4096,,,,,NVIDIA GeForce RTX 4090
2.3809170722961426,3440691.0241941703,420.0062285393274,1000,3466051584,3820539904,2.371659994125366,3454120.7509894734,421.6455994860197,1000,3467624448,3820539904,CartpoleBalanceBenchmark-v1,state,8192,,,,,NVIDIA GeForce RTX 4090
3.38368821144104,4842053.692950157,295.5355037201024,1000,4301082624,4955099136,3.3572747707366943,4880148.667844908,297.86063646514333,1000,4302917632,4955099136,CartpoleBalanceBenchmark-v1,state,16384,,,,,NVIDIA GeForce RTX 4090
