env.step/dt,env.step/fps,env.step/psps,env.step/total_steps,env.step/cpu_mem_use,env.step/gpu_mem_use,env.step+env.reset/dt,env.step+env.reset/fps,env.step+env.reset/psps,env.step+env.reset/total_steps,env.step+env.reset/cpu_mem_use,env.step+env.reset/gpu_mem_use,env_id,obs_mode,num_envs,control_mode,gpu_type,num_cameras,camera_width,camera_height
0.9577691555023192,4176.371703995967,1044.092925998992,1000,1879986176,1664315392,0.960362434387207,4165.094194414571,1041.273548603643,1000,1879986176,1664315392,CartpoleBalanceBenchmark-v1,state,4,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,,,
0.9753913879394532,16403.67159054022,1025.2294744087635,1000,1883738112,1664315392,0.9705688953399658,16485.176968705146,1030.3235605440716,1000,1884262400,1664315392,CartpoleBalanceBenchmark-v1,state,16,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,,,
0.9899818897247314,32323.823629640065,1010.119488426252,1000,1887064064,1664315392,0.9753108024597168,32810.053902096195,1025.314184440506,1000,1887326208,1664315392,CartpoleBalanceBenchmark-v1,state,32,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,,,
1.001758337020874,63887.663955290256,998.2447493014104,1000,1912295424,1664315392,0.9975407123565674,64157.78244158864,1002.4653506498224,1000,1912295424,1664315392,CartpoleBalanceBenchmark-v1,state,64,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,,,
1.001823902130127,127766.96555935644,998.1794184324722,1000,1894322176,1664315392,1.0042462348937988,127458.78008050116,995.7717193789152,1000,1894322176,1664315392,CartpoleBalanceBenchmark-v1,state,128,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,,,
1.0364587306976318,246994.8801798297,964.82375070246,1000,1906331648,1664315392,1.0155222415924072,252087.04400070527,984.715015627755,1000,1906331648,1664315392,CartpoleBalanceBenchmark-v1,state,256,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,,,
1.0597212314605713,483145.93008043343,943.6443946883466,1000,1943822336,1664315392,1.0565576553344729,484592.5798889953,946.469882595694,1000,1944346624,1664315392,CartpoleBalanceBenchmark-v1,state,512,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,,,
1.111661434173584,921143.7660075416,899.5544589917399,1000,2010894336,1731424256,1.1108291149139404,921833.958303598,900.2284749058574,1000,2010894336,1731424256,CartpoleBalanceBenchmark-v1,state,1024,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,,,
1.2031493186950684,1702199.3597779316,831.1520311415682,1000,2073571328,1731424256,1.189162015914917,1722221.171371935,840.9283063339526,1000,2074095616,1731424256,CartpoleBalanceBenchmark-v1,state,2048,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,,,
1.359541654586792,3012780.069062985,735.5420090485803,1000,2273992704,1798533120,1.3539693355560305,3025179.295008117,738.569163820341,1000,2274516992,1798533120,CartpoleBalanceBenchmark-v1,state,4096,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,,,
1.8960976600646973,4320452.565571163,527.3989948206986,1000,2677620736,2004054016,1.891533374786377,4330877.85243291,528.6716128458143,1000,2678407168,2004054016,CartpoleBalanceBenchmark-v1,state,8192,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,,,
2.6573262214660645,6165596.029440766,376.31811703129677,1000,3506118656,2280878080,2.699517011642456,6069233.840475615,370.43663577121674,1000,3507830784,2282975232,CartpoleBalanceBenchmark-v1,state,16384,pd_joint_delta_pos,NVIDIA GeForce RTX 4090,,,
